City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
vaini,-21.2,-175.2,78.8,94,90,5.82,TO,05-31-20
thompson,55.74,-97.86,69.8,22,75,3.36,CA,05-31-20
ciudad bolivar,8.12,-63.55,82.8,71,99,5.68,VE,05-31-20
necochea,-38.55,-58.74,48.99,88,83,17.0,AR,05-31-20
hami,42.8,93.45,74.07,20,0,15.9,CN,05-31-20
luderitz,-26.65,15.16,55.4,82,0,2.24,NA,05-31-20
karpogory,64.0,44.45,34.75,90,68,5.37,RU,05-31-20
nishihara,26.18,127.76,80.6,83,75,5.82,JP,05-31-20
bluff,-46.6,168.33,46.11,71,1,6.2,NZ,05-31-20
daoukro,7.06,-3.96,73.56,96,89,2.21,CI,05-31-20
tallahassee,30.44,-84.28,91.4,33,20,8.05,US,05-31-20
saskylakh,71.92,114.08,45.1,82,97,4.52,RU,05-31-20
hermanus,-34.42,19.23,57.0,93,0,4.54,ZA,05-31-20
paliseul,49.9,5.14,55.0,63,25,7.58,BE,05-31-20
waipawa,-41.41,175.52,59.0,73,100,4.0,NZ,05-31-20
albany,42.6,-73.97,57.0,52,26,3.0,US,05-31-20
ushuaia,-54.8,-68.3,39.2,86,99,6.69,AR,05-31-20
makaha,21.47,-158.22,86.0,54,40,12.75,US,05-31-20
yellowknife,62.46,-114.35,57.2,44,75,20.8,CA,05-31-20
nanakuli,21.39,-158.15,86.0,54,40,12.75,US,05-31-20
fortuna,40.6,-124.16,63.0,82,20,13.87,US,05-31-20
chokurdakh,70.63,147.92,47.52,49,95,3.18,RU,05-31-20
puerto ayora,-0.74,-90.35,75.99,89,37,3.0,EC,05-31-20
rio tuba,8.51,117.43,84.72,66,47,4.27,PH,05-31-20
tokur,53.13,132.9,46.8,91,100,5.97,RU,05-31-20
port alfred,-33.59,26.89,63.0,62,10,7.61,ZA,05-31-20
punta arenas,-53.15,-70.92,41.0,80,100,9.17,CL,05-31-20
nara,34.69,135.8,73.4,69,75,4.7,JP,05-31-20
atuona,-9.8,-139.03,80.73,74,1,18.32,PF,05-31-20
mar del plata,-38.0,-57.56,51.01,76,40,11.41,AR,05-31-20
ballina,-28.87,153.57,68.0,72,68,4.7,AU,05-31-20
serebryanyy bor,56.8,124.8,48.25,49,0,4.7,RU,05-31-20
hobart,-42.88,147.33,48.99,76,20,9.17,AU,05-31-20
hofn,64.25,-15.21,47.25,70,7,8.5,IS,05-31-20
holme,56.11,10.17,53.01,87,69,1.12,DK,05-31-20
turan,16.07,108.22,82.4,78,20,3.42,VN,05-31-20
barrow,71.29,-156.79,33.8,86,90,25.28,US,05-31-20
dali,25.7,100.18,61.74,79,13,3.78,CN,05-31-20
arraial do cabo,-22.97,-42.03,70.45,73,37,5.32,BR,05-31-20
dzerzhinskoye,56.83,95.23,48.22,87,99,10.76,RU,05-31-20
nanortalik,60.14,-45.24,43.03,68,100,4.52,GL,05-31-20
hilo,19.73,-155.09,82.4,58,1,10.29,US,05-31-20
mahebourg,-20.41,57.7,73.4,78,20,5.82,MU,05-31-20
nikolskoye,59.7,30.79,48.2,57,0,6.71,RU,05-31-20
qaanaaq,77.48,-69.36,27.09,93,11,1.99,GL,05-31-20
upernavik,72.79,-56.15,30.87,92,26,2.51,GL,05-31-20
bambous virieux,-20.34,57.76,73.4,78,20,5.82,MU,05-31-20
heves,47.6,20.28,53.6,100,90,4.7,HU,05-31-20
yanam,16.73,82.22,81.45,90,100,4.72,IN,05-31-20
staryy nadym,65.61,72.68,37.6,84,98,10.02,RU,05-31-20
alta floresta,-9.88,-56.09,71.47,77,25,2.77,BR,05-31-20
gat,31.61,34.76,64.0,82,0,1.95,IL,05-31-20
san jeronimo,-11.95,-75.28,47.17,65,27,4.72,PE,05-31-20
bubaque,11.28,-15.83,79.72,78,94,9.48,GW,05-31-20
skibbereen,51.55,-9.27,59.0,67,20,6.93,IE,05-31-20
sambava,-14.27,50.17,71.94,79,4,12.24,MG,05-31-20
mataura,-46.19,168.86,48.16,55,0,2.24,NZ,05-31-20
jamestown,42.1,-79.24,52.0,53,1,8.05,US,05-31-20
alice springs,-23.7,133.88,53.6,50,22,4.7,AU,05-31-20
knysna,-34.04,23.05,51.8,87,51,3.36,ZA,05-31-20
mahenge,-8.68,36.72,60.51,81,66,1.21,TZ,05-31-20
cape town,-33.93,18.42,53.01,93,90,2.24,ZA,05-31-20
manono,-7.3,27.42,70.09,58,89,3.96,CD,05-31-20
new norfolk,-42.78,147.06,46.0,70,82,2.06,AU,05-31-20
walvis bay,-22.96,14.51,59.0,77,0,3.36,NA,05-31-20
beira,-19.84,34.84,71.37,76,17,4.68,MZ,05-31-20
zyryanskoye,56.83,86.63,48.99,76,67,8.75,RU,05-31-20
castro,-24.79,-50.01,56.84,89,6,4.5,BR,05-31-20
sao jose da coroa grande,-8.9,-35.15,76.89,83,1,0.11,BR,05-31-20
werda,-25.27,23.28,57.13,36,0,6.15,BW,05-31-20
cockburn town,21.46,-71.14,81.5,84,22,11.01,TC,05-31-20
khorixas,-20.37,14.97,64.38,26,0,9.91,NA,05-31-20
rikitea,-23.12,-134.97,75.92,83,13,11.39,PF,05-31-20
yeppoon,-23.13,150.73,69.8,77,26,2.24,AU,05-31-20
saint-philippe,-21.36,55.77,68.0,68,20,6.93,RE,05-31-20
maneadero,31.72,-116.57,70.0,77,58,4.0,MX,05-31-20
saint george,37.1,-113.58,93.99,9,1,13.87,US,05-31-20
san patricio,19.22,-104.7,77.0,83,5,11.41,MX,05-31-20
guerrero negro,27.98,-114.06,70.63,66,0,20.2,MX,05-31-20
gunjur,13.2,-16.73,74.25,79,100,9.13,GM,05-31-20
nouadhibou,20.93,-17.03,68.0,88,0,10.29,MR,05-31-20
kaitangata,-46.28,169.85,47.1,55,0,2.57,NZ,05-31-20
souillac,-20.52,57.52,73.4,78,20,5.82,MU,05-31-20
bethel,41.37,-73.41,61.0,36,40,12.75,US,05-31-20
hasaki,35.73,140.83,70.0,82,75,6.93,JP,05-31-20
malanje,-9.54,16.34,63.66,51,46,4.21,AO,05-31-20
verkhnyaya inta,65.98,60.31,37.63,91,95,9.17,RU,05-31-20
dudinka,69.41,86.18,35.6,75,40,13.42,RU,05-31-20
morshyn,49.16,23.87,52.0,85,99,1.01,UA,05-31-20
butaritari,3.07,172.79,83.57,76,6,14.83,KI,05-31-20
kapaa,22.08,-159.32,80.6,69,1,18.34,US,05-31-20
agirish,61.92,63.02,41.25,72,41,5.99,RU,05-31-20
ilulissat,69.22,-51.1,37.4,69,96,4.7,GL,05-31-20
ijui,-28.39,-53.91,50.81,87,100,7.45,BR,05-31-20
esperance,-33.87,121.9,53.6,100,90,6.93,AU,05-31-20
santa marta,11.24,-74.2,79.09,82,100,10.58,CO,05-31-20
touros,-5.2,-35.46,77.0,94,20,4.7,BR,05-31-20
kailua,21.4,-157.74,91.4,43,90,11.41,US,05-31-20
clacton-on-sea,51.79,1.16,57.0,78,19,11.01,GB,05-31-20
vestmanna,62.16,-7.17,51.8,87,100,9.17,FO,05-31-20
hamilton,39.18,-84.53,69.8,32,1,11.41,US,05-31-20
sao joao da barra,-21.64,-41.05,69.48,78,5,8.55,BR,05-31-20
bredasdorp,-34.53,20.04,44.6,87,3,1.12,ZA,05-31-20
busselton,-33.65,115.33,57.0,72,86,4.52,AU,05-31-20
aksha,50.28,113.29,56.26,44,0,1.95,RU,05-31-20
gravelbourg,49.88,-106.55,85.01,27,58,24.56,CA,05-31-20
westport,41.14,-73.36,64.99,49,36,11.34,US,05-31-20
mount gambier,-37.83,140.77,46.4,81,40,12.75,AU,05-31-20
santiago del estero,-27.8,-64.26,55.56,43,81,3.83,AR,05-31-20
garca,-22.21,-49.66,71.6,49,0,3.36,BR,05-31-20
conneaut,41.95,-80.55,55.4,50,1,6.93,US,05-31-20
almeirim,-1.52,-52.58,75.63,94,99,3.74,BR,05-31-20
khatanga,71.97,102.5,46.83,58,38,11.63,RU,05-31-20
iracoubo,5.48,-53.2,78.24,83,100,10.76,GF,05-31-20
sao filipe,14.9,-24.5,72.55,82,17,5.59,CV,05-31-20
pisco,-13.7,-76.22,66.2,88,10,14.99,PE,05-31-20
bengkulu,-3.8,102.27,78.08,76,65,3.31,ID,05-31-20
iqaluit,63.75,-68.51,32.0,97,90,10.29,CA,05-31-20
whitianga,-36.83,175.7,63.0,85,100,7.0,NZ,05-31-20
port elizabeth,-33.92,25.57,50.0,87,10,5.82,ZA,05-31-20
tadine,-21.55,167.88,75.06,79,93,12.97,NC,05-31-20
nantucket,41.28,-70.1,62.01,44,1,10.29,US,05-31-20
tasiilaq,65.61,-37.64,39.2,80,29,13.87,GL,05-31-20
mount isa,-20.73,139.5,69.8,30,0,14.99,AU,05-31-20
carnarvon,-24.87,113.63,65.57,42,100,17.54,AU,05-31-20
aban,56.67,96.06,48.25,88,100,13.29,RU,05-31-20
soe,-9.86,124.28,70.12,85,16,5.39,ID,05-31-20
dikson,73.51,80.55,31.73,97,100,16.87,RU,05-31-20
georgetown,5.41,100.34,77.0,94,20,2.24,MY,05-31-20
agua dulce,18.13,-94.13,82.4,78,40,5.82,MX,05-31-20
tiksi,71.69,128.87,40.75,67,27,7.43,RU,05-31-20
avarua,-21.21,-159.78,78.8,78,78,5.82,CK,05-31-20
san luis,-33.3,-66.34,44.22,54,0,5.88,AR,05-31-20
yulara,-25.24,130.99,50.0,43,0,3.36,AU,05-31-20
shingu,33.73,135.98,69.8,77,75,6.93,JP,05-31-20
kichera,55.94,110.1,52.92,44,89,3.47,RU,05-31-20
rawson,-43.3,-65.1,46.96,52,70,3.78,AR,05-31-20
veracruz,19.33,-96.67,84.2,66,75,20.8,MX,05-31-20
kaptanganj,26.93,83.72,80.08,67,7,7.07,IN,05-31-20
rumuruti,0.27,36.54,55.67,84,49,5.59,KE,05-31-20
kruisfontein,-34.0,24.73,56.07,54,0,4.61,ZA,05-31-20
okhotsk,59.38,143.3,41.56,76,77,11.14,RU,05-31-20
tual,-5.67,132.75,82.65,79,38,21.85,ID,05-31-20
yovon,38.31,69.04,66.2,52,40,6.71,TJ,05-31-20
naze,28.37,129.48,77.0,94,75,2.24,JP,05-31-20
lakefield,43.68,-95.17,72.0,46,1,16.11,US,05-31-20
finschhafen,-6.6,147.87,83.89,68,84,6.96,PG,05-31-20
camacupa,-12.02,17.48,55.69,68,93,3.56,AO,05-31-20
airai,-8.93,125.41,65.68,81,10,4.36,TL,05-31-20
vila franca do campo,37.72,-25.43,62.6,77,40,12.75,PT,05-31-20
clyde river,70.47,-68.59,26.6,92,90,5.82,CA,05-31-20
pag,44.45,15.06,59.0,51,20,11.41,HR,05-31-20
minas,-34.38,-55.24,55.4,76,90,25.28,UY,05-31-20
shuyskoye,59.37,41.03,44.31,88,99,8.16,RU,05-31-20
bintulu,3.17,113.03,77.0,94,90,4.7,MY,05-31-20
muros,42.78,-9.06,63.0,88,81,1.01,ES,05-31-20
okha,53.57,142.95,42.64,81,95,7.09,RU,05-31-20
pangoa,-12.12,-73.0,70.48,75,0,2.48,PE,05-31-20
champerico,14.3,-91.92,77.99,87,100,14.67,GT,05-31-20
buala,-8.14,159.59,85.6,69,71,4.21,SB,05-31-20
rio grande,-32.03,-52.1,53.01,73,32,4.0,BR,05-31-20
haines junction,60.75,-137.51,57.56,38,93,11.41,CA,05-31-20
sakakah,29.97,40.21,82.4,15,0,8.05,SA,05-31-20
kasempa,-13.46,25.83,59.16,86,12,6.15,ZM,05-31-20
leningradskiy,69.38,178.42,41.85,78,17,4.47,RU,05-31-20
nagornyy,52.8,83.55,57.2,76,100,4.47,RU,05-31-20
bure,10.7,37.07,60.39,75,9,4.14,ET,05-31-20
outlook,51.5,-107.05,84.0,36,63,8.01,CA,05-31-20
putina,-15.47,-69.43,43.29,74,26,10.33,PE,05-31-20
bandarbeyla,9.49,50.81,81.79,80,7,26.84,SO,05-31-20
grand-santi,4.25,-54.38,74.01,96,87,2.86,GF,05-31-20
lorengau,-2.02,147.27,85.84,66,27,7.25,PG,05-31-20
hovd,48.01,91.64,60.48,33,18,2.64,MN,05-31-20
narsaq,60.92,-46.05,51.8,29,100,16.11,GL,05-31-20
tyukalinsk,55.87,72.2,49.17,78,39,10.89,RU,05-31-20
la rioja,42.25,-2.5,64.4,77,100,5.82,ES,05-31-20
dalvik,65.97,-18.53,46.4,87,40,10.29,IS,05-31-20
high level,58.52,-117.14,53.6,93,90,5.82,CA,05-31-20
mecca,21.43,39.83,83.8,32,0,6.64,SA,05-31-20
east london,-33.02,27.91,70.14,31,0,6.31,ZA,05-31-20
kirakira,-10.45,161.92,85.51,70,35,6.6,SB,05-31-20
porto novo,6.5,2.6,80.19,82,67,7.09,BJ,05-31-20
klaksvik,62.23,-6.59,51.8,87,100,9.17,FO,05-31-20
saint anthony,45.02,-93.22,75.2,36,1,12.75,US,05-31-20
theunissen,-28.41,26.7,45.34,61,23,3.69,ZA,05-31-20
tabatinga,-4.25,-69.94,80.6,94,75,8.05,BR,05-31-20
richards bay,-28.78,32.04,65.05,90,0,9.08,ZA,05-31-20
itaituba,-4.28,-55.98,76.05,97,100,1.28,BR,05-31-20
los llanos de aridane,28.66,-17.92,69.8,73,11,4.7,ES,05-31-20
cidreira,-30.18,-50.21,58.39,71,99,14.81,BR,05-31-20
la ronge,55.1,-105.28,69.8,35,75,13.87,CA,05-31-20
blagoyevo,63.37,47.92,40.05,80,73,7.16,RU,05-31-20
lompoc,34.64,-120.46,64.99,68,1,11.41,US,05-31-20
derbent,42.07,48.29,61.21,67,6,3.4,RU,05-31-20
matamoros,25.53,-103.25,87.8,22,20,7.85,MX,05-31-20
ternate,0.8,127.4,83.5,74,0,4.23,ID,05-31-20
plettenberg bay,-34.05,23.37,60.37,56,33,4.27,ZA,05-31-20
pevek,69.7,170.31,38.37,77,0,4.07,RU,05-31-20
jumla,29.27,82.18,52.52,69,96,3.78,NP,05-31-20
antsohihy,-14.88,47.99,74.53,60,30,10.16,MG,05-31-20
kharovsk,59.96,40.19,43.68,74,100,10.45,RU,05-31-20
laramie,41.31,-105.59,78.8,16,1,21.92,US,05-31-20
humaita,-7.51,-63.02,75.06,94,57,1.88,BR,05-31-20
valparaiso,-33.04,-71.63,53.6,87,0,2.19,CL,05-31-20
islamnagar,28.33,78.72,77.4,68,29,3.98,IN,05-31-20
nagua,19.38,-69.85,84.2,83,20,7.7,DO,05-31-20
vangaindrano,-23.35,47.6,67.53,90,60,7.02,MG,05-31-20
tilichiki,60.47,166.1,42.58,85,75,5.1,RU,05-31-20
alcaniz,41.05,-0.13,57.0,49,100,1.01,ES,05-31-20
south lake tahoe,38.93,-119.98,70.0,48,75,3.36,US,05-31-20
kungsbacka,57.49,12.08,57.99,58,0,5.82,SE,05-31-20
berlevag,70.86,29.09,44.91,91,100,13.76,NO,05-31-20
hithadhoo,-0.6,73.08,83.73,68,53,7.36,MV,05-31-20
sayat,38.78,63.88,69.8,40,0,6.93,TM,05-31-20
tuatapere,-46.13,167.68,50.86,58,3,4.21,NZ,05-31-20
maturin,9.75,-63.18,76.59,93,100,6.44,VE,05-31-20
tazovskiy,67.47,78.7,37.9,77,43,10.33,RU,05-31-20
severo-kurilsk,50.68,156.12,44.08,64,100,1.36,RU,05-31-20
veraval,20.9,70.37,82.53,86,33,10.4,IN,05-31-20
laguna,38.42,-121.42,79.0,39,1,6.93,US,05-31-20
saldanha,-33.01,17.94,50.0,87,0,1.12,ZA,05-31-20
sinfra,6.62,-5.92,77.0,94,48,2.71,CI,05-31-20
sao felix do xingu,-6.64,-51.99,74.17,87,41,2.51,BR,05-31-20
pudozh,61.81,36.53,38.55,76,50,6.82,RU,05-31-20
badami,15.91,75.68,78.48,74,96,3.33,IN,05-31-20
jalu,29.03,21.55,77.45,31,2,12.5,LY,05-31-20
weyburn,49.67,-103.85,82.0,45,40,21.0,CA,05-31-20
noshiro,40.2,140.02,64.4,72,75,3.36,JP,05-31-20
sioux lookout,50.1,-91.92,71.6,24,75,4.7,CA,05-31-20
cuenca,-2.88,-78.98,64.4,77,75,5.82,EC,05-31-20
lavrentiya,65.58,-171.0,53.76,46,75,14.47,RU,05-31-20
lebu,-37.62,-73.65,49.96,82,1,15.99,CL,05-31-20
batagay-alyta,67.8,130.41,43.86,56,24,6.91,RU,05-31-20
marsh harbour,26.54,-77.06,79.23,68,84,4.27,BS,05-31-20
watsa,3.04,29.54,63.54,99,56,1.99,CD,05-31-20
banda aceh,5.56,95.32,80.4,77,100,7.78,ID,05-31-20
warman,52.32,-106.57,82.99,39,90,21.92,CA,05-31-20
tuktoyaktuk,69.45,-133.04,37.4,69,40,18.34,CA,05-31-20
guadalupe y calvo,26.1,-106.97,68.29,48,51,7.7,MX,05-31-20
paamiut,61.99,-49.67,41.45,85,100,6.4,GL,05-31-20
jibuti,11.5,42.5,95.0,39,40,3.36,DJ,05-31-20
makat,47.65,53.35,69.24,40,0,9.82,KZ,05-31-20
karla,59.37,24.93,48.2,81,6,4.92,EE,05-31-20
yining,29.04,114.56,73.8,84,94,0.89,CN,05-31-20
vila do maio,15.13,-23.22,73.4,73,20,12.75,CV,05-31-20
dunedin,-45.87,170.5,49.98,49,0,2.21,NZ,05-31-20
kavieng,-2.57,150.8,85.48,69,47,8.08,PG,05-31-20
chuy,-33.7,-53.46,53.26,72,93,13.15,UY,05-31-20
srednekolymsk,67.45,153.68,59.76,35,29,10.76,RU,05-31-20
hinton,53.4,-117.59,50.52,84,100,7.31,CA,05-31-20
havoysund,71.0,24.66,51.8,71,88,27.51,NO,05-31-20
new plymouth,-39.07,174.08,51.01,84,100,18.01,NZ,05-31-20
waddan,29.16,16.14,73.31,42,34,2.93,LY,05-31-20
baiyin,36.56,104.21,66.99,41,99,4.47,CN,05-31-20
taoudenni,22.68,-3.98,97.27,20,88,9.31,ML,05-31-20
meulaboh,4.14,96.13,77.56,84,100,5.21,ID,05-31-20
provideniya,64.38,-173.3,59.0,54,75,11.18,RU,05-31-20
hervey bay,-25.3,152.85,66.0,89,80,4.0,AU,05-31-20
norman wells,65.28,-126.83,50.0,53,75,9.17,CA,05-31-20
ancud,-41.87,-73.82,45.0,100,48,2.24,CL,05-31-20
leibnitz,46.78,15.54,52.0,72,100,3.0,AT,05-31-20
mazara del vallo,37.66,12.59,60.8,93,0,2.24,IT,05-31-20
cabo san lucas,22.89,-109.91,90.0,57,5,12.75,MX,05-31-20
titel,45.21,20.29,48.2,93,92,5.82,RS,05-31-20
bang saphan,11.21,99.51,77.0,100,20,2.24,TH,05-31-20
alofi,-19.06,-169.92,82.4,78,95,9.17,NU,05-31-20
pangkalanbuun,-2.68,111.62,77.07,93,100,2.3,ID,05-31-20
bikin,46.82,134.26,69.53,46,28,9.64,RU,05-31-20
rotifunk,8.23,-12.68,75.04,97,100,2.75,SL,05-31-20
charters towers,-20.1,146.27,69.46,71,1,3.71,AU,05-31-20
ahuas,15.48,-84.36,82.4,78,75,6.76,HN,05-31-20
riyadh,24.69,46.72,86.0,19,0,4.7,SA,05-31-20
sur,22.57,59.53,88.97,62,77,13.38,OM,05-31-20
lokosovo,61.13,74.82,44.42,72,28,7.47,RU,05-31-20
balkanabat,39.51,54.37,67.69,77,28,7.76,TM,05-31-20
constitucion,-35.33,-72.42,52.61,67,90,5.53,CL,05-31-20
chimbote,-9.09,-78.58,67.12,86,21,9.33,PE,05-31-20
vestmannaeyjar,63.44,-20.27,45.91,78,49,11.36,IS,05-31-20
mapastepec,15.43,-92.9,78.21,84,100,5.01,MX,05-31-20
monrovia,6.3,-10.8,77.0,94,75,8.72,LR,05-31-20
kodiak,57.79,-152.41,51.8,76,90,11.41,US,05-31-20
floyita,40.27,23.22,62.01,100,40,4.12,GR,05-31-20
namatanai,-3.67,152.43,84.15,72,43,4.65,PG,05-31-20
coquimbo,-29.95,-71.34,57.2,87,90,6.93,CL,05-31-20
flinders,-34.58,150.86,64.99,77,92,5.01,AU,05-31-20
gamboma,-1.88,15.86,75.36,87,100,0.76,CG,05-31-20
tara,56.89,74.37,46.74,80,39,7.52,RU,05-31-20
bowen,-20.02,148.23,75.0,83,0,3.36,AU,05-31-20
wanning,18.8,110.4,84.6,81,20,12.33,CN,05-31-20
fairbanks,64.84,-147.72,72.0,48,90,11.16,US,05-31-20
ponta do sol,32.67,-17.1,66.2,77,40,1.12,PT,05-31-20
lagos,6.58,3.75,78.3,86,19,3.38,NG,05-31-20
bar harbor,44.39,-68.2,55.4,35,1,16.11,US,05-31-20
